hrs_Studied,prev_score,sleep,sample_practiced,extra_Curr,Result,
1,56,4,1,No,29,
9,72,9,5,No,68,
7,70,9,3,Yes,63,
3,89,9,2,Yes,71,
8,81,5,2,No,76,
7,65,5,9,No,57,
8,60,6,2,Yes,54,
6,75,7,7,No,61,
9,40,9,8,No,34,
5,43,6,8,Yes,32,
3,43,6,4,Yes,23,
3,65,7,0,No,44,
1,43,6,9,No,18,
8,88,7,4,No,82,
2,48,4,0,No,18,
3,69,7,8,Yes,52,
8,90,8,9,No,88,
8,84,7,7,No,78,
4,43,7,6,Yes,26,
4,44,8,1,Yes,26,
5,84,7,1,Yes,74,
6,62,5,3,Yes,52,
5,55,6,8,Yes,40,
7,61,6,8,Yes,54,
2,76,4,7,Yes,51,
7,47,4,4,No,35,
7,87,8,6,No,79,
1,72,5,8,Yes,45,
7,94,4,2,No,81,
5,99,6,3,No,87,
3,77,4,1,Yes,56,
3,82,4,8,Yes,65,
4,55,7,6,Yes,38,
2,44,4,5,Yes,17,
2,55,8,4,Yes,35,
1,46,6,6,No,20,
5,90,8,2,No,75,
4,40,8,4,Yes,26,
2,48,9,1,Yes,23,
3,57,5,4,No,38,
7,84,9,6,No,78,
7,97,9,9,No,91,
4,86,7,6,Yes,67,
5,42,8,8,Yes,31,
5,63,5,2,No,49,
6,67,6,7,Yes,57,
9,49,6,4,No,45,
2,48,5,6,Yes,22,
5,52,8,0,Yes,35,
3,87,8,0,No,65,
4,74,7,3,No,53,
6,93,7,4,Yes,79,
8,62,9,9,No,57,
1,86,6,2,Yes,58,
8,56,7,5,No,50,
7,85,5,2,No,75,
1,46,6,4,Yes,17,
2,91,8,0,Yes,70,
3,55,6,2,Yes,36,
1,92,4,6,No,61,
9,79,6,2,No,78,
8,75,7,4,Yes,71,
2,59,5,6,No,36,
9,63,8,1,Yes,63,
7,86,8,2,Yes,78,
9,44,7,3,Yes,39,
6,84,7,4,Yes,70,
6,45,7,8,Yes,34,
4,67,4,8,No,49,
2,98,5,3,No,71,
7,44,4,8,Yes,34,
5,88,7,3,No,77,
6,78,5,1,Yes,67,
2,77,7,9,No,52,
5,41,5,0,No,25,
4,82,8,6,Yes,68,
9,78,4,3,No,76,
6,93,9,7,Yes,85,
2,60,7,7,No,40,
1,79,7,7,Yes,56,
5,76,6,5,Yes,62,
9,98,9,8,Yes,99,
6,57,8,3,Yes,46,
7,93,7,4,Yes,86,
5,87,4,3,Yes,73,
6,85,8,4,No,74,
5,51,7,1,Yes,37,
9,56,4,4,No,50,
6,76,6,9,Yes,65,
8,85,6,7,No,79,
2,77,4,8,Yes,53,
9,54,8,6,Yes,55,
5,46,4,6,No,31,
7,53,9,5,Yes,47,
1,89,4,1,Yes,63,
5,40,6,9,Yes,27,
2,77,6,9,Yes,53,
6,42,6,8,No,33,
1,76,9,4,Yes,56,
3,83,7,5,No,65,
5,70,9,0,Yes,55,
4,82,7,4,Yes,67,
3,52,9,5,Yes,32,
5,87,5,9,Yes,73,
8,57,7,1,No,45,
4,56,8,6,Yes,43,
1,56,8,3,Yes,32,
7,50,6,4,Yes,42,
8,59,9,2,No,55,
3,49,4,4,No,28,
6,68,6,3,No,58,
2,87,4,9,No,67,
7,73,9,5,Yes,66,
8,56,6,1,Yes,46,
6,93,6,2,No,79,
6,91,8,9,Yes,83,
5,81,4,0,Yes,63,
8,52,5,6,No,45,
1,83,5,8,Yes,63,
4,86,6,1,No,70,
4,78,9,6,No,58,
3,66,6,2,No,50,
3,93,8,4,No,77,
4,92,4,5,No,75,
1,65,6,7,No,40,
2,67,9,3,Yes,43,
9,52,5,1,Yes,47,
2,51,4,2,Yes,22,
5,83,6,7,No,71,
9,67,4,6,No,63,
9,41,8,5,No,37,
8,76,5,4,Yes,72,
1,96,9,4,Yes,73,
1,96,4,0,No,72,
9,73,5,5,No,68,
8,62,6,8,No,59,
9,97,9,7,No,97,
7,91,9,9,No,83,
3,84,7,0,Yes,65,
3,68,4,5,No,47,
2,74,5,2,No,51,
5,50,4,5,No,32,
3,87,6,8,No,63,
6,72,6,5,Yes,60,
2,90,9,7,No,70,
3,50,9,5,No,32,
5,48,5,5,No,32,
1,53,8,6,Yes,29,
1,48,4,9,No,21,
9,78,4,3,Yes,74,
7,87,6,7,No,81,
1,42,4,3,No,11,
8,68,5,6,No,65,
3,58,7,0,No,37,
8,75,9,8,No,75,
5,71,6,9,No,61,
1,46,9,8,No,17,
7,94,9,6,No,87,
5,67,9,7,No,52,
6,83,7,1,Yes,71,
6,57,4,9,Yes,46,
8,99,8,9,Yes,99,
9,44,9,6,Yes,40,
2,62,5,0,No,42,
9,94,9,2,No,91,
9,61,9,5,Yes,57,
7,65,4,4,Yes,58,
1,81,5,4,Yes,55,
7,51,4,8,Yes,46,
5,79,9,5,No,64,
6,58,4,2,Yes,45,
7,86,4,1,No,78,
5,40,6,8,No,24,
7,42,7,9,No,36,
9,66,8,3,Yes,65,
3,57,7,4,Yes,35,
8,89,7,8,No,87,
2,69,5,4,Yes,45,
7,41,6,6,Yes,35,
2,44,6,1,No,18,
4,68,4,1,No,46,
7,72,7,3,Yes,63,
3,81,8,7,No,62,
2,59,5,1,Yes,35,
7,69,6,9,Yes,63,
1,81,4,6,No,58,
8,44,8,0,No,37,
3,89,7,8,Yes,74,
2,60,8,9,No,40,
3,97,6,5,Yes,78,
5,54,5,0,No,38,
8,59,7,9,Yes,55,
7,47,5,5,No,39,
7,88,9,4,Yes,84,
7,70,8,4,Yes,60,
8,51,8,4,No,47,
1,60,4,3,Yes,34,
4,69,7,6,Yes,54,
6,66,8,8,Yes,56,
9,83,6,3,Yes,82,
2,65,9,1,Yes,45,
1,72,6,1,No,45,
2,65,5,1,Yes,43,
7,65,9,6,Yes,57,
3,75,9,3,Yes,56,
2,79,6,3,No,56,
7,40,8,0,No,30,
2,98,6,3,Yes,75,
3,54,7,5,Yes,33,
7,89,5,1,No,80,
4,40,9,3,No,27,
1,50,7,6,Yes,26,
5,94,8,8,No,81,
9,41,8,1,Yes,41,
8,40,6,7,Yes,34,
9,70,4,5,Yes,68,
9,83,9,7,No,83,
7,55,9,1,Yes,44,
4,93,4,0,Yes,75,
5,61,8,6,No,52,
1,81,8,8,Yes,56,
1,57,9,8,Yes,37,
3,86,5,1,Yes,67,
8,56,9,3,No,50,
2,69,8,0,No,46,
4,49,8,6,Yes,31,
2,74,5,1,No,51,
5,97,7,3,Yes,82,
9,60,7,1,Yes,58,
1,55,5,0,No,31,
5,45,5,6,No,29,
9,42,7,5,Yes,40,
1,80,7,1,No,51,
9,82,7,3,No,79,
8,60,7,2,No,52,
4,52,9,2,Yes,36,
5,57,9,2,Yes,43,
5,97,6,3,No,81,
6,93,5,0,Yes,81,
7,99,4,0,Yes,84,
8,63,6,6,No,55,
8,66,4,4,Yes,64,
2,93,4,2,No,68,
9,43,8,8,Yes,41,
7,61,5,4,Yes,53,
4,63,9,9,No,50,
4,79,6,2,Yes,65,
8,84,5,8,No,78,
4,49,7,0,Yes,31,
6,41,5,8,Yes,30,
5,79,4,4,Yes,64,
3,45,9,5,No,26,
2,87,7,1,Yes,66,
9,57,5,7,Yes,55,
9,56,5,2,No,52,
1,77,9,0,No,57,
3,84,4,6,Yes,68,
8,62,7,2,No,57,
6,85,4,3,No,75,
5,69,9,4,No,54,
5,97,5,0,No,82,
6,60,6,8,Yes,51,
7,49,6,6,No,43,
1,95,8,1,Yes,68,
9,82,6,0,Yes,77,
3,52,9,1,Yes,33,
4,51,9,2,No,37,
1,48,9,2,No,23,
3,43,7,7,Yes,26,
2,78,8,4,Yes,56,
2,63,7,8,No,42,
1,93,6,2,No,65,
8,73,6,5,Yes,66,
3,78,5,3,No,57,
3,80,7,7,No,59,
6,44,4,0,Yes,28,
8,54,5,3,No,46,
9,89,7,6,No,84,
9,43,9,8,Yes,42,
4,90,8,0,No,73,
5,91,7,7,Yes,77,
2,97,8,1,No,74,
9,78,8,3,Yes,75,
8,97,6,3,No,94,
3,47,4,7,Yes,27,
9,88,7,1,No,89,
3,84,4,6,No,62,
9,63,8,2,No,59,
2,92,6,8,Yes,73,
9,67,4,4,No,57,
8,94,5,7,Yes,90,
9,82,8,4,No,80,
5,66,5,0,No,50,
2,40,9,8,No,18,
8,73,4,9,No,68,
6,56,4,6,No,39,
8,76,4,3,No,67,
5,77,9,6,Yes,69,
2,65,7,4,Yes,43,
6,96,8,9,No,84,
5,63,8,8,No,50,
5,78,8,1,No,65,
1,99,7,3,No,74,
2,60,4,5,No,35,
8,69,4,4,Yes,61,
3,86,9,0,No,64,
3,90,5,8,No,66,
8,87,7,8,Yes,81,
8,96,6,2,Yes,93,
2,52,7,3,Yes,28,
8,76,9,3,No,71,
1,42,5,9,No,13,
6,71,5,7,No,59,
8,74,5,5,No,67,
3,58,4,1,No,35,
8,53,6,3,Yes,46,
1,87,5,0,No,59,
9,61,8,2,No,57,
9,56,4,3,No,51,
5,98,6,7,Yes,80,
4,43,8,2,No,22,
6,84,6,4,No,71,
7,79,9,0,No,73,
5,58,6,3,No,40,
9,76,8,1,Yes,75,
3,41,7,3,Yes,24,
7,54,6,4,Yes,45,
5,41,7,2,No,25,
7,50,6,5,Yes,42,
2,84,9,1,Yes,63,
4,62,8,4,No,44,
2,49,6,3,No,26,
7,42,5,4,Yes,31,
2,44,9,8,Yes,26,
1,42,5,5,Yes,15,
9,77,9,6,Yes,77,
1,52,9,7,No,31,
8,81,6,8,No,75,
2,58,8,4,Yes,34,
8,79,8,7,Yes,74,
3,89,4,1,Yes,68,
6,74,8,9,No,64,
3,63,7,8,No,43,
7,63,6,1,No,54,
9,56,5,4,Yes,53,
2,79,8,5,No,56,
5,49,5,3,Yes,34,
6,41,4,7,Yes,27,
4,83,6,9,No,66,
4,62,8,2,Yes,41,
4,45,5,4,No,25,
2,41,9,1,No,20,
4,60,8,2,Yes,45,
1,94,4,7,Yes,70,
6,95,9,4,No,86,
1,74,5,2,No,46,
6,88,5,4,No,73,
1,68,6,8,No,42,
6,46,6,2,No,27,
8,68,5,9,No,64,
2,92,9,6,No,71,
2,76,6,7,Yes,56,
4,62,5,4,No,43,
3,72,9,2,Yes,50,
4,47,7,5,Yes,31,
7,51,8,2,No,42,
1,85,7,8,No,60,
6,87,7,1,No,76,
3,49,8,2,No,28,
7,54,5,6,No,45,
2,92,5,9,Yes,71,
2,63,6,7,Yes,44,
4,65,4,4,No,48,
1,86,5,4,No,57,
3,81,8,4,No,61,
9,92,4,3,No,86,
7,99,8,8,Yes,95,
7,78,8,5,Yes,70,
4,97,8,7,Yes,81,
2,42,4,7,No,18,
4,41,7,4,No,24,
6,45,9,8,No,32,
3,60,8,1,Yes,40,
1,48,6,7,Yes,25,
8,49,5,2,Yes,41,
5,75,9,6,No,66,
5,98,5,8,Yes,83,
4,42,5,4,No,22,
6,80,4,7,Yes,70,
3,63,6,3,No,42,
9,61,6,0,No,56,
5,88,9,0,No,72,
3,53,6,5,No,31,
1,81,6,7,Yes,60,
6,84,6,9,Yes,74,
2,83,9,1,Yes,62,
3,66,7,3,No,44,
1,72,6,2,Yes,46,
9,99,6,8,No,96,
8,61,4,2,Yes,51,
2,68,4,7,Yes,43,
8,58,6,6,No,51,
9,58,7,0,No,58,
1,45,6,7,No,23,
5,84,6,8,Yes,67,
8,58,6,7,No,50,
2,52,8,9,Yes,31,
4,98,7,9,Yes,83,
7,65,5,0,Yes,55,
3,61,6,6,No,44,
5,60,5,8,Yes,45,
8,75,7,4,No,73,
3,95,6,1,No,76,
4,41,5,7,Yes,23,
9,86,9,8,Yes,84,
7,83,5,6,Yes,73,
1,69,7,4,Yes,48,
4,66,6,7,No,50,
4,46,8,5,No,30,
9,59,7,3,No,51,
6,89,8,0,No,76,
9,70,6,5,No,66,
6,62,5,7,No,50,
6,52,9,2,No,40,
5,56,9,6,No,42,
5,43,7,6,No,29,
2,96,7,8,Yes,77,
8,53,7,0,Yes,45,
8,59,4,4,No,49,
1,99,9,7,No,74,
8,52,9,2,Yes,45,
5,42,6,4,Yes,27,
2,65,4,0,Yes,44,
2,65,7,8,No,42,
6,57,7,3,Yes,43,
9,71,8,4,Yes,68,
1,53,4,2,Yes,29,
6,86,5,1,Yes,73,
9,42,9,6,Yes,39,
8,40,6,4,No,30,
6,65,5,9,Yes,53,
3,63,5,2,No,38,
8,88,6,1,Yes,82,
9,74,7,9,Yes,72,
1,53,9,5,Yes,24,
9,42,8,9,Yes,44,
6,52,7,5,Yes,45,
6,86,7,2,No,75,
4,89,4,8,No,75,
1,53,5,0,No,26,
8,60,5,2,No,49,
2,65,9,0,No,42,
1,42,5,6,No,14,
2,90,8,1,No,64,
1,79,8,3,Yes,54,
1,43,8,3,No,16,
9,75,6,7,Yes,73,
1,90,9,3,Yes,67,
4,82,8,2,No,69,
6,40,4,9,Yes,28,
7,79,4,2,Yes,67,
2,86,7,4,No,62,
6,72,7,5,Yes,60,
7,46,9,6,No,43,
2,92,7,4,Yes,70,
2,91,7,6,No,70,
7,91,4,3,Yes,84,
1,95,7,4,No,72,
8,50,4,5,Yes,44,
3,66,8,8,No,46,
6,53,8,5,Yes,41,
9,61,9,9,Yes,58,
6,55,6,0,No,44,
9,85,7,6,Yes,89,
7,51,8,2,No,45,
9,88,8,5,Yes,87,
2,85,9,1,Yes,61,
8,49,5,6,No,41,
8,63,5,0,Yes,57,
2,85,9,1,No,62,
4,57,4,8,Yes,39,
7,61,6,8,Yes,54,
4,48,9,6,Yes,33,
4,56,5,1,Yes,42,
6,77,6,4,No,70,
6,79,8,3,No,67,
3,97,9,1,Yes,80,
9,52,4,1,Yes,44,
2,89,6,9,No,69,
6,76,5,7,Yes,66,
7,45,8,4,No,35,
9,60,9,7,Yes,61,
3,90,7,1,Yes,68,
3,75,8,1,No,55,
7,46,5,2,Yes,36,
4,75,9,9,No,56,
8,64,5,7,No,58,
7,50,7,7,No,40,
5,83,8,2,No,68,
7,53,6,0,No,43,
3,84,6,6,No,61,
2,68,8,3,Yes,45,
6,49,6,2,No,36,
2,89,9,4,No,67,
3,87,8,5,Yes,67,
6,44,8,0,No,29,
5,47,5,8,Yes,31,
8,85,4,5,No,74,
9,44,5,2,No,37,
3,97,6,0,No,79,
3,99,4,8,Yes,76,
3,63,8,1,Yes,45,
6,79,6,9,No,65,
1,96,7,5,No,72,
7,65,6,5,Yes,62,
1,45,4,2,Yes,19,
5,55,4,5,Yes,39,
8,99,8,1,No,93,
4,75,9,7,Yes,62,
5,51,7,0,Yes,37,
4,50,8,5,Yes,34,
4,42,7,0,Yes,23,
8,83,7,8,Yes,79,
2,76,8,8,Yes,51,
1,45,6,5,Yes,18,
3,58,5,5,No,41,
9,57,7,8,Yes,57,
4,55,4,4,No,36,
5,62,8,8,No,47,
2,82,9,4,Yes,65,
4,76,6,3,No,57,
2,48,7,1,No,22,
2,42,9,1,Yes,20,
4,47,6,0,No,27,
6,77,8,9,Yes,64,
7,43,9,2,Yes,32,
3,51,4,0,Yes,29,
3,83,7,5,Yes,62,
6,70,7,6,Yes,56,
3,64,9,8,Yes,43,
2,92,6,6,Yes,70,
8,55,8,3,No,49,
5,81,5,3,Yes,68,
1,93,7,7,No,66,
3,53,4,3,Yes,31,
8,52,7,0,Yes,44,
4,80,7,8,Yes,65,
7,46,5,2,No,36,
2,51,5,0,No,27,
7,76,8,8,No,71,
5,89,7,9,No,76,
5,43,7,9,No,31,
6,41,6,4,No,26,
9,74,6,8,Yes,69,
6,97,9,2,Yes,90,
8,83,9,5,No,79,
7,42,4,6,No,33,
9,43,4,4,No,40,
4,77,6,7,No,58,
2,51,9,9,No,28,
7,58,4,5,Yes,50,
6,49,7,5,Yes,37,
1,40,9,6,Yes,15,
9,56,5,7,Yes,50,
9,55,9,1,Yes,55,
2,48,7,6,Yes,25,
3,96,6,8,Yes,79,
5,92,8,0,Yes,79,
5,48,8,0,No,36,
1,98,6,6,No,69,
8,94,7,4,Yes,83,
8,48,4,0,Yes,44,
4,51,9,0,Yes,36,
7,94,9,1,No,84,
3,80,4,9,No,58,
6,54,8,8,Yes,44,
9,41,6,2,No,36,
1,50,6,8,Yes,23,
5,50,5,5,Yes,33,
4,47,8,9,Yes,31,
8,94,6,5,Yes,90,
1,71,5,6,Yes,45,
9,45,4,9,No,40,
6,92,8,7,Yes,81,
4,59,8,2,Yes,47,
9,78,6,7,Yes,75,
5,74,6,5,Yes,61,
5,47,7,5,No,37,
5,89,4,2,Yes,75,
1,88,4,5,Yes,63,
1,82,9,7,No,61,
8,73,5,6,Yes,70,
8,96,5,9,Yes,91,
6,92,7,9,Yes,80,
4,98,9,6,Yes,83,
2,95,4,2,No,72,
2,58,5,9,Yes,35,
9,46,4,2,Yes,41,
5,70,4,4,No,57,
4,57,9,4,Yes,43,
1,79,5,8,Yes,55,
7,53,6,8,No,42,
3,78,6,9,Yes,59,
6,99,9,4,No,90,
5,92,5,4,Yes,79,
5,99,7,5,No,89,
5,98,8,7,Yes,87,
1,75,9,5,Yes,50,
1,56,4,5,No,33,
3,76,9,8,Yes,58,
4,83,8,0,No,68,
5,48,9,3,No,33,
2,97,5,9,No,73,
8,59,4,9,No,50,
2,84,8,1,Yes,59,
9,96,6,8,No,93,
2,67,7,2,Yes,47,
9,89,9,9,Yes,89,
7,59,9,1,No,47,
8,80,8,7,No,77,
2,75,7,3,Yes,53,
7,92,9,1,No,87,
6,66,6,3,Yes,53,
4,47,8,6,No,28,
7,71,5,6,Yes,66,
4,40,4,0,Yes,23,
2,56,6,0,No,28,
7,96,7,2,Yes,89,
8,48,7,1,Yes,38,
2,59,6,2,No,37,
5,84,5,3,No,66,
1,71,9,6,No,44,
7,41,5,1,No,33,
8,71,9,6,No,67,
6,84,9,4,Yes,76,
5,48,7,7,Yes,33,
6,69,9,7,No,59,
2,59,6,4,Yes,39,
1,77,9,9,Yes,55,
7,99,6,7,Yes,96,
7,40,4,8,Yes,30,
2,99,7,6,Yes,80,
2,96,5,5,No,75,
1,44,8,6,No,19,
8,74,5,6,Yes,71,
8,75,5,2,Yes,67,
1,40,8,5,No,16,
8,53,7,5,No,45,
9,48,9,8,No,44,
4,69,4,0,No,50,
1,63,5,6,Yes,37,
1,43,9,0,No,15,
3,89,5,9,No,71,
5,53,7,3,Yes,42,
5,64,7,6,No,49,
9,43,6,5,No,41,
2,64,7,5,No,40,
2,49,7,4,No,25,
6,74,5,6,No,62,
9,94,4,8,Yes,93,
1,46,5,5,Yes,19,
9,81,9,9,Yes,77,
9,52,7,6,Yes,52,
9,43,6,8,Yes,41,
5,89,4,6,No,69,
9,82,6,5,No,82,
4,96,8,2,No,82,
2,75,6,0,No,49,
6,95,6,9,No,82,
4,53,9,8,No,40,
6,57,7,6,No,48,
3,47,9,2,No,28,
6,71,7,9,No,60,
2,66,9,8,No,43,
2,81,7,2,No,59,
9,76,7,2,No,71,
7,62,7,6,No,52,
3,46,6,1,Yes,27,
1,51,8,9,No,28,
8,64,7,6,Yes,62,
6,42,8,6,No,27,
7,65,8,0,No,55,
9,43,5,9,No,39,
5,81,5,1,Yes,66,
1,75,4,4,Yes,46,
7,54,9,3,No,47,
5,71,5,2,No,59,
3,68,7,9,No,46,
9,49,8,7,No,47,
1,60,9,6,Yes,39,
1,93,4,8,Yes,67,
1,55,5,2,No,26,
3,86,6,9,Yes,68,
6,58,9,0,Yes,49,
3,68,4,8,No,45,
8,91,7,8,No,88,
2,90,9,0,No,67,
9,57,8,7,Yes,54,
3,97,7,9,No,75,
5,83,7,0,Yes,67,
8,96,9,5,No,91,
2,55,6,8,No,30,
6,40,6,2,Yes,29,
5,87,9,5,Yes,75,
9,41,9,2,Yes,41,
5,95,9,4,Yes,84,
2,54,8,6,Yes,31,
5,78,5,9,Yes,64,
4,67,7,3,No,48,
7,40,9,3,Yes,29,
6,44,5,6,Yes,33,
2,81,8,4,No,59,
5,61,7,0,Yes,45,
7,92,5,9,Yes,86,
7,75,7,1,No,65,
5,85,6,5,No,73,
9,52,9,8,No,50,
4,40,6,6,Yes,20,
3,55,4,3,No,36,
4,94,8,1,Yes,78,
5,80,9,3,No,65,
6,61,5,4,Yes,48,
3,71,7,1,No,49,
2,55,4,0,No,32,
4,90,8,3,No,69,
5,54,8,5,Yes,41,
4,97,8,0,Yes,77,
3,85,5,0,No,60,
8,91,9,8,No,88,
4,81,6,4,No,61,
2,92,4,1,No,69,
2,51,5,1,Yes,29,
1,99,7,3,No,73,
4,40,5,1,No,22,
9,92,7,3,Yes,93,
7,56,7,5,Yes,46,
7,80,8,6,No,74,
7,94,5,5,No,83,
8,90,6,3,Yes,84,
1,96,7,9,Yes,71,
8,89,8,2,No,82,
4,67,6,3,Yes,49,
4,46,5,4,Yes,27,
4,48,6,3,No,29,
6,61,5,2,No,50,
7,65,7,0,Yes,53,
6,92,4,2,No,80,
1,51,4,4,No,21,
8,46,9,5,No,39,
7,85,9,3,No,74,
6,86,7,0,No,76,
6,54,6,9,Yes,43,
5,77,5,6,Yes,61,
6,60,4,8,No,48,
9,53,5,5,No,48,
9,41,7,5,No,40,
8,47,6,8,Yes,40,
9,84,5,3,Yes,80,
8,94,6,4,Yes,90,
8,45,4,4,Yes,36,
1,76,5,4,No,48,
5,76,8,7,No,60,
4,96,4,0,Yes,76,
2,72,6,9,Yes,47,
8,80,7,9,No,73,
3,45,8,2,No,22,
4,91,9,7,No,74,
7,65,5,8,No,58,
9,78,9,1,No,76,
2,80,4,3,Yes,59,
3,76,5,7,No,55,
4,53,5,4,Yes,33,
1,76,8,0,Yes,50,
7,47,8,5,No,37,
2,78,8,8,Yes,58,
5,52,8,8,Yes,36,
1,52,7,0,No,25,
3,79,6,3,Yes,62,
2,82,8,0,No,57,
1,67,4,6,No,39,
7,97,5,2,Yes,84,
5,57,9,1,No,45,
1,96,8,7,No,72,
6,58,4,8,Yes,45,
5,77,7,6,No,63,
3,71,4,5,Yes,50,
7,61,9,9,Yes,53,
9,41,9,5,No,36,
9,99,4,8,Yes,97,
9,52,7,4,No,49,
2,62,9,4,Yes,40,
3,64,7,1,No,43,
7,67,5,5,No,60,
5,97,8,5,Yes,85,
2,50,9,5,Yes,26,
3,72,4,3,No,53,
6,63,6,6,No,53,
7,41,6,8,Yes,34,
9,69,5,0,No,63,
1,56,6,2,No,31,
7,79,5,9,Yes,71,
8,73,8,8,Yes,67,
3,77,5,4,No,57,
4,61,7,5,Yes,46,
6,44,7,7,Yes,34,
7,87,7,8,No,76,
4,79,9,7,Yes,65,
8,90,7,2,Yes,84,
5,55,7,9,No,38,
1,52,7,0,Yes,27,
4,65,7,4,No,49,
3,70,9,6,Yes,52,
9,91,7,1,Yes,86,
8,78,7,0,No,74,
1,87,8,3,Yes,64,
6,62,9,2,Yes,53,
9,87,7,3,Yes,87,
7,51,5,0,Yes,43,
4,53,8,1,Yes,37,
1,95,9,0,Yes,68,
2,57,6,2,No,32,
5,66,4,3,Yes,49,
5,67,9,0,Yes,56,
8,57,8,5,No,52,
6,55,7,1,No,41,
8,91,8,9,No,87,
2,55,4,4,Yes,34,
3,52,4,7,No,32,
6,97,9,3,No,89,
3,68,7,4,Yes,46,
6,48,7,8,No,36,
6,65,5,1,Yes,51,
2,67,4,1,Yes,46,
7,80,7,5,Yes,72,
2,52,4,5,Yes,27,
6,75,5,2,Yes,59,
1,48,6,8,No,25,
3,86,4,0,Yes,67,
2,53,5,2,No,24,
7,90,5,7,Yes,82,
4,51,5,7,No,35,
8,92,8,3,Yes,88,
6,97,9,7,Yes,87,
4,96,7,9,Yes,79,
5,71,4,7,No,58,
9,77,9,0,No,76,
7,42,8,2,No,34,
9,97,4,0,Yes,95,
7,96,9,1,Yes,93,
1,93,8,3,No,67,
8,91,7,2,Yes,85,
4,55,5,5,No,36,
3,59,9,4,Yes,38,
7,71,9,4,No,66,
3,95,4,9,No,78,
8,62,5,6,Yes,58,
6,56,7,6,No,48,
5,55,4,8,Yes,41,
4,77,6,7,Yes,61,
8,47,6,2,Yes,42,
8,58,6,1,No,50,
1,69,7,0,No,40,
9,96,6,9,No,94,
5,97,9,5,Yes,84,
4,73,4,3,Yes,59,
6,53,9,2,No,39,
6,61,6,1,Yes,49,
2,83,4,1,Yes,59,
8,56,9,3,No,49,
7,99,7,0,No,89,
1,98,5,5,Yes,73,
5,54,9,9,Yes,40,
6,89,8,4,No,79,
4,87,6,9,No,74,
2,71,8,8,Yes,49,
4,52,5,1,Yes,35,
1,60,7,8,Yes,39,
7,88,9,8,No,83,
2,79,7,9,Yes,56,
2,72,5,8,Yes,46,
9,96,8,9,Yes,95,
5,97,9,9,Yes,86,
2,66,6,3,Yes,39,
9,74,4,4,Yes,70,
9,55,7,7,No,51,
1,67,5,7,No,41,
3,73,9,0,No,53,
4,86,8,9,Yes,71,
7,40,6,0,No,31,
4,80,8,9,Yes,63,
2,87,6,5,Yes,61,
7,70,9,6,Yes,65,
6,75,4,1,Yes,63,
3,83,4,1,Yes,63,
6,72,5,4,No,58,
6,72,5,8,No,62,
5,78,6,4,No,61,
4,57,6,7,Yes,40,
1,62,6,7,No,39,
6,99,6,4,Yes,89,
2,62,9,7,No,40,
3,54,9,7,No,35,
8,65,4,4,No,55,
6,69,5,4,No,60,
3,64,5,3,No,45,
7,84,7,0,No,76,
4,55,5,8,Yes,38,
9,78,5,1,Yes,73,
5,87,8,0,Yes,72,
3,84,8,5,Yes,68,
2,53,7,4,Yes,27,
2,56,6,0,No,33,
3,51,7,6,Yes,28,
2,68,7,6,Yes,46,
4,71,4,2,Yes,52,
2,95,9,7,Yes,72,
9,63,5,5,Yes,58,
2,91,4,3,Yes,69,
9,52,9,9,Yes,54,
6,95,5,9,Yes,85,
1,59,7,9,Yes,33,
4,54,5,2,No,33,
1,95,6,0,Yes,67,
6,92,6,1,Yes,80,
4,43,7,1,No,25,
3,93,8,4,No,76,
3,73,6,3,Yes,53,
9,67,7,1,Yes,63,
6,89,4,8,Yes,75,
9,41,8,6,No,38,
5,96,6,7,Yes,79,
2,86,7,7,No,63,
8,69,7,1,No,60,
5,65,4,4,No,49,
2,90,4,2,No,66,
4,86,8,9,No,71,
9,65,9,8,Yes,66,
4,59,6,8,Yes,41,
4,81,7,5,No,67,
2,67,8,3,No,46,
6,95,8,7,No,86,
2,59,4,4,No,37,
7,50,7,2,Yes,42,
3,97,5,7,No,77,
3,49,9,5,No,32,
5,62,9,4,Yes,47,
3,76,4,0,Yes,54,
2,80,7,2,Yes,60,
9,91,8,6,Yes,89,
2,58,9,2,No,34,
2,84,8,0,No,59,
8,57,6,7,No,52,
9,88,5,6,No,84,
7,66,4,4,No,57,
3,45,9,9,No,30,
9,49,6,4,No,47,
3,41,6,5,No,15,
5,63,5,6,No,49,
9,77,4,2,Yes,74,
3,67,4,3,No,45,
7,67,8,0,Yes,61,
1,92,4,6,Yes,67,
4,84,6,9,Yes,64,
4,89,8,1,Yes,73,
7,78,4,6,No,68,
8,41,5,5,Yes,33,
1,85,6,3,Yes,60,
5,44,7,1,No,30,
7,89,5,6,Yes,82,
4,50,5,6,No,33,
4,49,4,4,No,28,
4,82,8,8,No,64,
6,98,8,2,No,88,
7,41,6,8,Yes,35,
2,54,4,4,No,30,
5,78,8,1,Yes,60,
4,80,9,8,Yes,66,
3,76,7,0,No,52,
7,46,9,0,Yes,39,
6,59,4,6,No,45,
7,73,4,2,Yes,64,
5,74,8,7,Yes,66,
6,73,5,6,Yes,61,
5,92,4,6,Yes,76,
7,61,5,0,No,49,
2,70,6,0,No,43,
5,62,6,1,Yes,45,
6,58,8,1,Yes,49,
6,43,6,4,Yes,27,
5,63,9,8,Yes,50,
7,59,9,6,No,52,
8,78,9,1,Yes,72,
7,67,8,4,Yes,62,
5,93,8,4,Yes,80,
1,78,9,7,No,53,
5,56,5,8,Yes,42,
